0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20600,20600,21700,22400,23300,27500,27500,27600,27600,27600,27600,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,31500,32600,32600,35200,35200,35200,35300,35300,35300,35300,35300,35300,35300,35300,35300,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36200,37300,38900,39600,39600,40200,40200,40200,40200,40600,40600,40600,40600,40600,41100,41100,41100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42200,42200,42200,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500
24000,24000,24000,24000,24000,24000,25800,25800,25800,25800,25800,25800,25800,25800,26300,26300,26400,27000,27000,27000,27000,27000,27000,27100,27100,27100,27100,29900,29900,29900,29900,29900,30300,31600,31600,31600,31600,31600,31600,31600,31600,34300,34300,34300,34300,34300,34300,34300,34300,34300,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,35400,35400,35400,35400,35400,35500,36300,36400,36400,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500
20800,21200,21400,21400,21400,21400,21800,21800,21800,21800,21800,21800,21800,23300,23300,24100,24400,24400,24400,26800,26800,26800,26800,26800,26800,26800,27100,28200,28700,28700,28700,28900,28900,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,30100,30500,30500,30500,30500,30500,31000,31000,31000,31000,31000,31000,31000,31300,31300,31300,31300,32100,32200,32200,32200,32200,32200,32200,32200,32500,32500,32500,32500,32500,32500,32500,32600,32600,32600,32600,32600,32600,32600,32600,32600,33200,33200,33200,33200,33200,33200,33200,33400,33400,33400,33400,33400,33400,33400,33400
19900,19900,19900,19900,19900,20000,20300,22900,22900,22900,22900,26900,26900,27000,27000,27000,28200,28200,28200,28200,28200,29800,30900,30900,30900,30900,30900,30900,31600,31600,31600,31600,31600,33000,33000,33000,33000,33000,33000,33000,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100
20500,23900,23900,24700,24700,24700,24700,24700,25600,27500,27600,27600,27600,27600,27600,29000,30000,30000,30200,30800,34500,34500,34500,37000,37000,37000,38000,38000,38000,38600,38600,38900,38900,38900,38900,38900,38900,38900,39300,39300,39300,39300,39300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800
23700,23700,24400,24400,24400,24400,24500,24500,24500,26500,26500,26500,26500,28100,28100,28100,28100,28100,28100,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,33100,33100,33100,33100,33800,34300,34300,34300,34400,34600,34600,34600,34600,36300,36300,36300,36300,36300,36300,36300,36300,36300,36500,37100,37100,37100,37100,37100,37100,37600,37600,37600,37600,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,28600,28600,28600,28600,28600,28600,28600,30200,30800,30800,31100,31100,31100,31900,32300,34700,34700,34800,34900,35200,37900,37900,37900,37900,37900,37900,37900,37900,38200,38200,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500
18900,20900,22900,26200,26200,26200,26200,26200,26200,26200,30500,30500,30500,30500,31200,31200,31200,31200,31200,31200,31200,31200,32300,34800,38000,38000,38000,38000,38000,38000,38000,38000,39700,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40300,40300,40300,40300,40300,40300,40500,40600,40600,40800,40800,41500,41500,41500,41500,41500,42000,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800
17600,22700,24700,24700,24700,24700,25100,25100,25100,25100,25100,25100,25100,25100,25100,25100,25100,25900,25900,25900,27900,27900,27900,28000,28200,28200,28200,28200,28200,28200,28200,28200,28200,29000,29000,29100,29200,29200,30200,30200,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31100,31100,31100,31100,31100,31800,31800,31800,31800,31800,31800,33800,33800,33800,33800,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900
21900,22400,22400,28000,28000,28200,28200,28200,30300,30300,30300,30300,32000,32000,32000,32000,32900,32900,32900,32900,36100,36100,36100,36100,36100,36100,36100,36700,36900,36900,37800,37800,37800,38600,38600,38700,38700,38700,38700,38700,38900,38900,38900,38900,39900,39900,39900,39900,39900,39900,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40600,40600,40600,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43600,43600,43600,43600,44100,44100,44100,44100,44100,44100
20900,21300,21300,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22400,22600,23300,23300,23300,24900,24900,24900,24900,24900,26500,26500,26500,29200,29200,29200,29200,29300,29300,29900,29900,29900,29900,29900,29900,29900,29900,31100,31100,31100,31800,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,33100,33100,33200,33200,33200,33200,33200,33200,33300,33300,33300,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400
20500,20500,20800,22400,22700,22700,29100,29100,29100,29100,31000,31000,31000,31000,31000,31000,31100,31200,31200,31200,31200,31200,31200,31600,31600,31600,31600,32800,32800,32800,32800,32800,32800,32800,32800,33900,33900,33900,33900,33900,33900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400
26700,26700,27500,27500,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,29000,29000,29000,29000,29000,29200,29200,29200,29300,29300,29300,29300,29300,30300,30300,30300,30300,30300,30500,31200,31200,31300,31300,32100,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400
21100,24500,24500,24500,24500,24500,24500,24500,25300,25300,25300,27400,27400,27400,27400,29000,29000,29600,29600,29600,32000,32000,32000,32000,32000,32000,32000,32000,32800,32800,32800,32800,32800,32800,32800,32800,33200,33200,34900,34900,34900,34900,34900,35200,35200,35200,35500,35500,35500,35900,35900,35900,35900,35900,35900,35900,35900,37900,37900,37900,37900,37900,37900,38500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41600
21800,21800,21800,21800,21800,21800,21800,21800,21800,21800,22000,22000,24300,25100,25200,25200,25200,27200,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28700,29000,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,30800,30800,30800,30800,30800,30900,30900,30900,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31900,31900,31900,32000,33200,33200,33200,33200,33200,33200,34300,34300,34300,34400,34400,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34900,34900,34900,34900,34900,34900,35100,35100,35100,35100
21100,21100,22800,22800,22800,24300,24800,24800,27400,27400,27400,27400,27400,27400,27400,28800,28800,28800,28800,28800,28800,29600,29600,29600,29600,29600,29600,30800,31000,32000,32000,32600,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35600,35600,35600,35600,35600,35600,35600,35700,35700,35700,35700,35700,36600,36600,36600,36600,36600,36600,36600,37300,37300,37300,37300,37300,37300,37300,37300,37300,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
18800,18800,24800,24800,24800,24800,25000,25000,27600,27600,27600,27600,27600,27600,27600,28000,28000,29500,29500,29500,29500,29500,29500,29500,31100,31100,31100,31200,31200,31200,31200,31200,31200,31200,31200,34100,34100,34100,34100,34100,34100,34100,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36600,36600,36600,36600,36700,36700,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600
23200,23300,25300,25300,25300,25300,25300,27700,27700,27700,27700,27700,27700,29900,29900,29900,29900,29900,29900,29900,31100,31600,32700,32700,32700,32700,32700,32700,32700,33000,33000,34500,34500,34500,34500,34500,34500,34500,34500,35700,35700,35700,35700,35700,35700,35700,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36000,36000,36000,36000,36000,36000,36000,36400,36400,36400,37200,37200,37200,38500,38500,38500,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700
22900,22900,22900,22900,24500,24500,24500,24500,24500,24500,24500,24800,24800,25700,25700,25700,25700,25700,25700,25700,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29800,29800,30700,31100,31100,31100,31100,31100,32000,32000,32000,32000,32000,32000,32000,33300,33300,33300,33300,33300,33300,33300,33300,33300,33500,33500,33600,33600,33600,33600,33600,33600,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900
22200,22200,22200,22200,22200,22200,22200,22200,24300,24300,24300,24600,28200,28200,28200,28200,28200,28200,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,30500,30500,30500,30500,30500,31200,33400,33400,33400,33400,33400,33400,33400,33400,33500,33600,33600,33600,33600,33600,34500,34500,34500,34500,34500,34500,34500,34500,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34900,34900,34900,34900,34900,34900,34900,34900,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,27200,27200,29300,29300,30100,30100,30100,30100,30100,30500,33200,33200,33200,33200,33200,33600,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,35400,35500,35500,35500,35500,35500,35500,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
21200,21200,24200,24200,24200,24200,24200,24200,24200,25700,25700,28400,29100,31700,31700,31700,31700,31700,31700,31700,32400,32400,32400,33500,33500,34500,34500,34500,35400,35400,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36300,36300,36300,36300,37500,37700,37900,37900,37900,38700,38700,38700,38700,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39300,39300,39300,39300,39300,39400,39400,39400,39400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400
21100,21100,21100,21100,21100,21100,21100,24400,24400,24400,24400,24400,24400,24400,29600,29600,29600,29600,31300,31300,32200,32200,32200,32200,32200,32200,32200,32600,32600,32600,32600,32600,32600,32600,33600,33600,33600,33600,33600,33600,33600,33600,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,35500,36000,36000,36000,36000,36000,36000,36000,36200,36200,36200,36200,36200,36200,36200,36200,36400,36700,36700,36700,36700,36700,36700,36700,36700,37500,37500,37500,37500,37500,37500,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700
22100,23200,23200,25100,25100,25100,25100,25100,25100,25100,27300,27300,27300,27300,27300,27300,29700,29700,29700,29700,29700,29800,30300,30800,30800,30800,31900,31900,31900,31900,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32600,32600,32600,32900,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34400,34600,34600,34600,34700,34700,34700,34700,34700,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,35100,35100,35100,35300,35300,35300,35300,35300,35300
19700,19700,19700,19700,19700,20100,20100,20700,20800,21200,21200,21200,21200,21200,21200,21200,23600,23600,23600,23600,26100,27700,27700,27700,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,29600,30100,30100,30100,30200,30200,30200,30200,30200,30200,30600,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,35200,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400
20300,20300,20300,20300,20300,20300,20300,20300,20300,20300,20300,20300,20300,20400,22200,23100,24300,27100,28300,28300,28300,28300,30900,30900,30900,30900,30900,31700,33200,33200,33300,33300,34500,34500,34500,35800,35800,35800,35800,35800,35800,36500,36500,36500,36500,36500,36500,37400,37400,37400,37400,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40500,40500,40500,40500,40500,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700
20500,20500,20500,20500,20500,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,23700,23700,23700,25200,25200,25200,25200,25200,26000,26000,26000,28600,28600,28600,28600,28600,28600,28600,28600,29500,29500,30600,32300,32300,32300,32300,32900,32900,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33800,33800,33800,33800,33800,33800,35200,35200,35200,35200,35200,35200,35200,35200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36400,37100,37100,37100,37700
25000,25000,25000,25000,25000,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29200,29400,29400,30300,31300,31300,31300,31300,31300,31300,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,34000,34000,34000,35200,35200,35200,35200,35200,35200,35200,35200,35800,35800,35800,35800,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
22700,22700,22700,23200,23200,23200,23200,23400,25000,25000,25000,25000,25000,25000,25000,25100,25500,25500,25500,25800,26000,26000,26000,26400,26400,27400,27400,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,32700,32700,32700,32700,32700,32700,32700,32700,32900,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,35200,35200,35200,35200,35200,35300,35300,35300,35300,36300,36300,36300,36300,36300,36300,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,38200,38200,38200,38200,38200,38200,38200,38200,38500,39300,39300,39300,39300,39300,39300,39300
20200,20200,20400,20400,20400,21000,21000,21400,21400,21400,22400,25100,27900,27900,27900,27900,27900,28500,28900,28900,28900,28900,28900,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32900,33000,33000,33000,33000,33000,33000,33000,33000,33000,35100,35100,35100,35100,35100,35100,35300,36100,36100,36200,36300,36300,36800,36800,38800,38800,38800,38800,38800,39300,39300,39300,39800,39800,39800,39800,39900,40600,40600,40600,40600,40600,40600,40600,40600,40800
